loyalty_number,total_flights,distance,points_accumulated,points_redeemed,months_recorded,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,salary_missing_flag,cancelled_flag,salary_band,clv_band,enrollment_date,cancellation_date,points_balance,redemption_rate,activity_segment,clv_segment,customer_segment
138746,29,39739,39739,995,24,Canada,British Columbia,Vancouver,V6E 3Z3,Female,High School or Below,57020,Married,Star,4479.49,0,0,Medium,Medium CLV,2012-12-01,,38744,2.50383753994816e-02,Medium Activity,Medium CLV,Medium Value Regular
974114,47,55051,55051,2206,24,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,92853,Married,Aurora,5079.84,0,0,Medium,Medium CLV,2013-09-01,,52845,4.00719332982144e-02,High Activity,High CLV,High Value Frequent Flyer
412854,41,67597,67597,0,24,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Single,Star,4692.1,1,0,Unknown,Medium CLV,2017-04-01,,67597,0,Medium Activity,Medium CLV,Medium Value Regular
886127,34,39840,39840,466,24,Canada,Ontario,Toronto,M2Z 4K1,Female,College,,Single,Star,4784.77,1,0,Unknown,Medium CLV,2014-03-01,,39374,1.16967871485944e-02,Medium Activity,Medium CLV,Medium Value Regular
751820,43,62790,62790,599,24,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,61070,Divorced,Aurora,5217.51,0,0,Medium,Medium CLV,2017-02-01,,62191,9.53973562669215e-03,High Activity,High CLV,High Value Frequent Flyer
122958,59,89490,89490,1631,24,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,49512,Married,Star,4430.57,0,0,Low,Medium CLV,2016-06-01,,87859,1.82255000558722e-02,High Activity,Medium CLV,Medium Value Power User
429460,18,24803,24803,374,24,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,3839.75,1,1,Unknown,Medium CLV,2014-07-01,2018-01-01,24429,1.50788211103496e-02,Low Activity,Low CLV,Low Value Low Activity
909134,36,53261,53261,1214,24,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,4463,1,0,Unknown,Medium CLV,2016-05-01,,52047,2.27934135671504e-02,Medium Activity,Medium CLV,Medium Value Regular
536021,7,10813,10813,531,24,Canada,Ontario,Toronto,M8Y 4K8,Female,Bachelor,50795,Divorced,Star,4784.96,0,0,Medium,Medium CLV,2016-05-01,,10282,4.91075557199667e-02,Low Activity,Medium CLV,Medium Value Casual
882024,7,10161,10161,0,24,Canada,British Columbia,Vancouver,V6E 3Z3,Male,College,,Married,Star,4594.26,1,0,Unknown,Medium CLV,2018-09-01,,10161,0,Low Activity,Medium CLV,Medium Value Casual
561092,40,60887,60887,1576,24,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,48849,Married,Star,4558.43,0,0,Low,Medium CLV,2018-11-01,,59311,2.58840146500895e-02,Medium Activity,Medium CLV,Medium Value Regular
830931,44,73631,73631,1309,24,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,66731,Single,Star,4652.6,0,0,Medium,Medium CLV,2013-02-01,,72322,1.77778381388274e-02,High Activity,Medium CLV,Medium Value Power User
938981,38,49606,74409,0,11,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,5337.35,1,0,Unknown,Medium CLV,2018-04-01,,74409,0,Medium Activity,High CLV,High Value Active
979309,32,49776,49776,818,24,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,63654,Single,Star,4312.77,0,0,Medium,Medium CLV,2013-03-01,,48958,1.64336226293796e-02,Medium Activity,Low CLV,Low Value Regular
585629,56,100777,100777,408,24,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,4423.69,1,0,Unknown,Medium CLV,2016-03-01,,100369,4.04854282227095e-03,High Activity,Medium CLV,Medium Value Power User
384146,43,57117,85675,0,11,Canada,Alberta,Peace River,T9O 2W2,Female,High School or Below,48890,Married,Nova,2790.23,0,1,Low,Low CLV,2018-04-01,2018-12-01,85675,0,High Activity,Low CLV,Low Value Active
474174,31,39281,39281,825,24,Canada,Ontario,Sudbury,M5V 1G5,Female,Doctor,218703,Married,Star,4365.26,0,1,High,Medium CLV,2015-11-01,2018-01-01,38456,2.10025203024363e-02,Medium Activity,Medium CLV,Medium Value Regular
625870,45,63589,63589,546,24,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,61809,Married,Star,4282.95,0,0,Medium,Medium CLV,2013-08-01,,63043,8.58639072795609e-03,High Activity,Low CLV,Low Value Active
589840,26,42597,42597,469,24,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Married,Star,4903.13,1,0,Unknown,Medium CLV,2014-11-01,,42128,1.10101650350964e-02,Medium Activity,Medium CLV,Medium Value Regular
958243,48,64185,64185,1814,24,Canada,Ontario,London,M5B 3E4,Male,College,,Married,Star,4569.88,1,0,Unknown,Medium CLV,2017-01-01,,62371,2.82620549972735e-02,High Activity,Medium CLV,Medium Value Power User
557752,22,31868,31868,1340,24,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629,Married,Star,3890.87,0,0,Medium,Medium CLV,2017-10-01,,30528,4.20484498556546e-02,Low Activity,Low CLV,Low Value Low Activity
101945,39,63004,63004,1219,24,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,86098,Married,Star,4202.66,0,0,Medium,Medium CLV,2013-11-01,,61785,1.93479779061647e-02,Medium Activity,Low CLV,Low Value Regular
395460,40,62296,62296,1075,24,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Single,Star,4330.8,1,0,Unknown,Medium CLV,2013-12-01,,61221,1.72563246436368e-02,Medium Activity,Medium CLV,Medium Value Regular
413282,40,71549,71549,1774,24,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,58729,Married,Star,4835.78,0,0,Medium,Medium CLV,2016-08-01,,69775,2.47941969838852e-02,Medium Activity,Medium CLV,Medium Value Regular
610946,45,58573,58573,3141,24,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,56947,Married,Star,4244.47,0,0,Medium,Medium CLV,2016-12-01,,55432,5.36253905383026e-02,High Activity,Low CLV,Low Value Active
703338,5,3775,3775,0,24,Canada,Ontario,Trenton,K8V 4B2,Male,College,,Single,Star,4502.87,1,0,Unknown,Medium CLV,2018-11-01,,3775,0,Low Activity,Medium CLV,Medium Value Casual
990204,38,57056,57056,594,24,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,4903.15,1,0,Unknown,Medium CLV,2014-10-01,,56462,1.04108244531688e-02,Medium Activity,Medium CLV,Medium Value Regular
721984,34,50291,50291,1436,24,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,59500,Married,Star,4558.97,0,0,Medium,Medium CLV,2017-03-01,,48855,2.85538167863037e-02,Medium Activity,Medium CLV,Medium Value Regular
307233,48,68018,68018,643,24,Canada,New Brunswick,Moncton,E1A 2A7,Male,College,,Single,Aurora,4965.49,1,1,Unknown,Medium CLV,2016-03-01,2018-11-01,67375,9.45337998765033e-03,High Activity,Medium CLV,Medium Value Power User
305171,35,43659,43659,1261,24,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Single,Star,4697.15,1,0,Unknown,Medium CLV,2014-09-01,,42398,2.88829336448384e-02,Medium Activity,Medium CLV,Medium Value Regular
932823,51,81965,81965,499,24,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444,Married,Star,3863.31,0,0,Medium,Medium CLV,2015-03-01,,81466,6.08796437503813e-03,High Activity,Low CLV,Low Value Active
714555,45,69030,69030,1087,24,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,64387,Divorced,Star,4299.84,0,0,Medium,Medium CLV,2013-08-01,,67943,1.57467767637259e-02,High Activity,Low CLV,Low Value Active
915571,21,41481,41481,510,24,Canada,British Columbia,Victoria,V10 6T5,Male,Master,114551,Single,Star,4334.06,0,0,High,Medium CLV,2015-07-01,,40971,1.22947855644753e-02,Low Activity,Medium CLV,Medium Value Casual
368292,2,1182,1182,0,24,Canada,Alberta,Edmonton,T9G 1W3,Female,College,,Married,Star,4770.26,1,1,Unknown,Medium CLV,2016-11-01,2017-02-01,1182,0,Low Activity,Medium CLV,Medium Value Casual
235629,14,29126,29126,0,24,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Master,124308,Divorced,Aurora,5140.39,0,0,High,Medium CLV,2018-06-01,,29126,0,Low Activity,High CLV,High Value Low Activity
754539,25,30154,30154,648,24,Canada,Quebec,Tremblant,H5Y 2S9,Male,College,,Single,Star,4467.71,1,0,Unknown,Medium CLV,2016-06-01,,29506,2.14896862771108e-02,Medium Activity,Medium CLV,Medium Value Regular
949175,36,52309,52309,1633,24,Canada,Manitoba,Winnipeg,R3R 3T4,Female,College,,Single,Aurora,5153.92,1,0,Unknown,Medium CLV,2014-09-01,,50676,3.12183371886291e-02,Medium Activity,High CLV,High Value Active
345014,40,58074,58074,469,24,Canada,British Columbia,Vancouver,V6E 3Z3,Male,College,,Single,Aurora,5009.6,1,0,Unknown,Medium CLV,2018-07-01,,57605,8.07590315803974e-03,Medium Activity,High CLV,High Value Active
693256,36,56034,56034,0,24,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,47937,Married,Star,4916.58,0,0,Low,Medium CLV,2013-05-01,,56034,0,Medium Activity,Medium CLV,Medium Value Regular
235872,44,56477,56477,1221,24,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057,Single,Star,4046.94,0,0,Medium,Medium CLV,2013-03-01,,55256,2.16194202949873e-02,High Activity,Low CLV,Low Value Active
763520,30,51884,51884,2261,24,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,57975,Married,Aurora,5107.16,0,0,Medium,Medium CLV,2017-03-01,,49623,4.35779816513761e-02,Medium Activity,High CLV,High Value Active
837646,16,26117,26117,719,24,Canada,Ontario,Toronto,M2M 6J7,Female,College,,Single,Aurora,5121.56,1,1,Unknown,Medium CLV,2014-03-01,2018-04-01,25398,2.75299613278707e-02,Low Activity,High CLV,High Value Low Activity
240362,26,49435,49435,1523,24,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,58756,Married,Star,4276.36,0,0,Medium,Medium CLV,2014-10-01,,47912,3.08081318903611e-02,Medium Activity,Low CLV,Low Value Regular
485283,19,37817,37817,564,24,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479,Single,Star,4072.85,0,0,High,Medium CLV,2017-09-01,,37253,1.4913927598699e-02,Low Activity,Low CLV,Low Value Low Activity
174996,42,66517,66517,0,24,Canada,Saskatchewan,Regina,S6J 3G0,Female,College,,Single,Star,4488.13,1,0,Unknown,Medium CLV,2014-10-01,,66517,0,Medium Activity,Medium CLV,Medium Value Regular
544569,29,33161,33161,715,24,Canada,Quebec,Tremblant,H5Y 2S9,Male,Doctor,100482,Married,Star,4914.73,0,0,High,Medium CLV,2015-01-01,,32446,2.15614728144507e-02,Medium Activity,Medium CLV,Medium Value Regular
615394,39,52144,52144,1201,24,Canada,Ontario,Toronto,P1W 1K4,Female,High School or Below,67071,Married,Star,4831.42,0,0,Medium,Medium CLV,2018-11-01,,50943,2.30323718932188e-02,Medium Activity,Medium CLV,Medium Value Regular
779247,50,57896,57896,536,24,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,86987,Married,Star,4122.57,0,0,Medium,Medium CLV,2012-09-01,,57360,9.25797982589471e-03,High Activity,Low CLV,Low Value Active
474172,0,0,0,0,24,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,50951,Single,Star,4369.04,0,1,Medium,Medium CLV,2015-05-01,2016-03-01,0,0,No Activity,Medium CLV,Medium Value Inactive
372261,43,64169,64169,853,24,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,192498,Married,Aurora,4983.18,0,0,High,Medium CLV,2017-04-01,,63316,1.32930231108479e-02,High Activity,Medium CLV,Medium Value Power User
524483,48,71423,71423,1343,24,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,67447,Married,Star,4576.76,0,0,Medium,Medium CLV,2014-12-01,,70080,1.88034666704003e-02,High Activity,Medium CLV,Medium Value Power User
417584,36,52014,52014,607,24,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262,Married,Star,4014.45,0,0,Medium,Medium CLV,2014-05-01,,51407,1.16699350174953e-02,Medium Activity,Low CLV,Low Value Regular
534794,0,0,0,0,24,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,66905,Married,Star,4708.2,0,0,Medium,Medium CLV,2012-05-01,,0,0,No Activity,Medium CLV,Medium Value Inactive
809728,12,19493,19493,580,24,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,168331,Married,Aurora,4987.64,0,1,High,Medium CLV,2018-01-01,2018-09-01,18913,2.9754270763864e-02,Low Activity,Medium CLV,Medium Value Casual
205785,35,51158,51158,1233,24,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118,Married,Star,3873.65,0,0,High,Medium CLV,2016-08-01,,49925,2.41018022596661e-02,Medium Activity,Low CLV,Low Value Regular
589580,52,78121,78121,1159,24,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955,Married,Star,3954.34,0,0,High,Medium CLV,2015-08-01,,76962,1.48359596011316e-02,High Activity,Low CLV,Low Value Active
399418,39,63948,63948,437,24,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,47476,Divorced,Aurora,5109.5,0,0,Low,Medium CLV,2014-09-01,,63511,6.83367736285732e-03,Medium Activity,High CLV,High Value Active
217616,8,16606,16606,0,24,Canada,Newfoundland,"St. John's",A1C 6H9,Male,Bachelor,95606,Married,Aurora,5160.25,0,0,Medium,Medium CLV,2018-07-01,,16606,0,Low Activity,High CLV,High Value Low Activity
774724,34,48224,48224,1239,24,Canada,British Columbia,Vancouver,V6E 3D9,Female,High School or Below,65673,Single,Star,4605.04,0,0,Medium,Medium CLV,2016-05-01,,46985,2.5692601194426e-02,Medium Activity,Medium CLV,Medium Value Regular
135250,34,48296,48296,734,24,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,88089,Married,Star,4298.66,0,0,Medium,Medium CLV,2013-08-01,,47562,1.51979459996687e-02,Medium Activity,Low CLV,Low Value Regular
139863,30,56645,56645,857,24,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67223,Married,Star,4142.56,0,0,Medium,Medium CLV,2015-10-01,,55788,1.51293141495278e-02,Medium Activity,Low CLV,Low Value Regular
217695,41,74109,74109,1595,24,Canada,Ontario,Trenton,K8V 4B2,Male,Master,114551,Single,Star,4334.06,0,0,High,Medium CLV,2013-09-01,,72514,2.15223522109325e-02,Medium Activity,Medium CLV,Medium Value Regular
430521,0,0,0,0,24,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,47639,Divorced,Star,4515.45,0,0,Low,Medium CLV,2018-12-01,,0,0,No Activity,Medium CLV,Medium Value Inactive
333502,42,60437,60437,409,24,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,3891.58,1,0,Unknown,Medium CLV,2014-03-01,,60028,6.76737759981468e-03,Medium Activity,Low CLV,Low Value Regular
370486,27,49412,49412,1001,24,Canada,Ontario,Toronto,M2M 7K8,Female,Doctor,148510,Single,Star,4657.16,0,0,High,Medium CLV,2017-07-01,,48411,2.02582368655387e-02,Medium Activity,Medium CLV,Medium Value Regular
930718,53,66249,66249,1088,24,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577,Married,Star,4037.55,0,0,Medium,Medium CLV,2015-07-01,,65161,1.64228894021042e-02,High Activity,Low CLV,Low Value Active
193662,86,138596,138596,1222,24,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124,Married,Star,3844.57,0,0,Medium,Medium CLV,2012-05-01,,137374,8.8169932754192e-03,High Activity,Low CLV,Low Value Active
221388,36,53419,53419,441,24,Canada,Ontario,Sudbury,M5V 1G5,Male,College,,Married,Star,4531.37,1,0,Unknown,Medium CLV,2013-07-01,,52978,8.2554896197982e-03,Medium Activity,Medium CLV,Medium Value Regular
387129,61,93072,93072,979,24,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Single,Star,4776.19,1,0,Unknown,Medium CLV,2013-06-01,,92093,1.05187381811931e-02,High Activity,Medium CLV,Medium Value Power User
111255,48,65856,65856,0,24,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272,Married,Star,4122.96,0,0,Medium,Medium CLV,2013-03-01,,65856,0,High Activity,Low CLV,Low Value Active
286114,26,35769,35769,2123,24,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Single,Star,3872.22,1,0,Unknown,Medium CLV,2016-11-01,,33646,5.93530710950823e-02,Medium Activity,Low CLV,Low Value Regular
367961,44,66680,66680,1914,24,Canada,Ontario,Ottawa,K1F 2R2,Male,College,,Divorced,Star,4670.95,1,0,Unknown,Medium CLV,2013-06-01,,64766,2.87042591481704e-02,High Activity,Medium CLV,Medium Value Power User
602900,35,58374,58374,443,24,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,74499,Married,Aurora,5122.72,0,0,Medium,Medium CLV,2014-03-01,,57931,7.58899510055847e-03,Medium Activity,High CLV,High Value Active
295217,29,51310,51310,1767,24,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411,Divorced,Star,4059.57,0,0,Medium,Medium CLV,2016-06-01,,49543,3.44377314363672e-02,Medium Activity,Low CLV,Low Value Regular
495027,27,42867,42867,0,24,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,67246,Single,Star,4913.12,0,0,Medium,Medium CLV,2015-03-01,,42867,0,Medium Activity,Medium CLV,Medium Value Regular
230311,38,66250,66250,1226,24,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,54123,Married,Star,4781.82,0,0,Medium,Medium CLV,2014-08-01,,65024,1.85056603773585e-02,Medium Activity,Medium CLV,Medium Value Regular
353128,38,53507,53507,1672,24,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,83071,Divorced,Star,4670.06,0,0,Medium,Medium CLV,2012-09-01,,51835,3.12482478927991e-02,Medium Activity,Medium CLV,Medium Value Regular
835796,48,69185,69185,553,24,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,254243,Married,Star,4885.16,0,0,High,Medium CLV,2013-07-01,,68632,7.99306207993062e-03,High Activity,Medium CLV,Medium Value Power User
297869,32,46842,46842,0,24,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,92444,Married,Aurora,5154.76,0,0,Medium,Medium CLV,2014-04-01,,46842,0,Medium Activity,High CLV,High Value Active
679859,19,25215,25215,402,24,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,74770,Married,Star,4428.03,0,0,Medium,Medium CLV,2014-09-01,,24813,1.59428911362284e-02,Low Activity,Medium CLV,Medium Value Casual
476875,28,49098,49098,1157,24,Canada,Ontario,Toronto,P1L 8X8,Male,Bachelor,60641,Married,Aurora,5143.88,0,0,Medium,Medium CLV,2016-05-01,,47941,2.35651146686219e-02,Medium Activity,High CLV,High Value Active
685314,33,38684,38684,291,24,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,55335,Married,Star,4834.8,0,0,Medium,Medium CLV,2014-10-01,,38393,7.52248991831248e-03,Medium Activity,Medium CLV,Medium Value Regular
277910,41,52421,52421,588,24,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,56468,Married,Aurora,5004.58,0,0,Medium,Medium CLV,2015-02-01,,51833,1.1216878731806e-02,Medium Activity,High CLV,High Value Active
161373,11,14081,14081,458,24,Canada,Ontario,Toronto,M2P 4F6,Male,Bachelor,58700,Married,Aurora,5243.83,0,1,Medium,Medium CLV,2017-04-01,2017-12-01,13623,3.25260989986507e-02,Low Activity,High CLV,High Value Low Activity
702588,40,65254,65254,2129,24,Canada,Alberta,Banff,T4V 1D4,Male,Master,94440,Divorced,Star,4458.11,0,0,Medium,Medium CLV,2016-11-01,,63125,3.26263524075152e-02,Medium Activity,Medium CLV,Medium Value Regular
105145,0,0,0,0,24,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Star,4839.11,1,0,Unknown,Medium CLV,2012-07-01,,0,0,No Activity,Medium CLV,Medium Value Inactive
781463,36,59258,59258,503,24,Canada,Ontario,Toronto,M8Y 4K8,Female,Master,123828,Married,Star,4636.55,0,0,High,Medium CLV,2015-07-01,,58755,8.48830537648925e-03,Medium Activity,Medium CLV,Medium Value Regular
845945,58,95472,95472,1765,24,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,98851,Divorced,Star,4571.51,0,0,Medium,Medium CLV,2014-01-01,,93707,1.8487095692978e-02,High Activity,Medium CLV,Medium Value Power User
357149,27,40655,40655,882,24,Canada,Quebec,Hull,J8Y 3Z5,Female,College,,Married,Star,4526.13,1,0,Unknown,Medium CLV,2016-05-01,,39773,2.16947484934202e-02,Medium Activity,Medium CLV,Medium Value Regular
484194,31,46161,46161,2342,24,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Married,Aurora,5009.81,1,0,Unknown,Medium CLV,2013-12-01,,43819,5.07354693355863e-02,Medium Activity,High CLV,High Value Active
662268,36,56901,56901,1310,24,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,99973,Divorced,Aurora,5090.78,0,0,Medium,Medium CLV,2015-12-01,,55591,2.30224424878297e-02,Medium Activity,High CLV,High Value Active
438936,52,67379,67379,499,24,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092,Married,Star,3878.77,0,0,Medium,Medium CLV,2013-10-01,,66880,7.40586829724395e-03,High Activity,Low CLV,Low Value Active
603775,43,58077,58077,1816,24,Canada,Ontario,Ottawa,K1F 2R2,Male,College,,Married,Star,4443.63,1,0,Unknown,Medium CLV,2014-03-01,,56261,3.12688327565129e-02,High Activity,Medium CLV,Medium Value Power User
995091,16,25024,25024,506,24,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454,Married,Star,4095.2,0,0,Medium,Medium CLV,2017-09-01,,24518,2.02205882352941e-02,Low Activity,Low CLV,Low Value Low Activity
335839,44,60960,60960,1241,24,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,90889,Married,Star,4882.49,0,0,Medium,Medium CLV,2013-07-01,,59719,2.03576115485564e-02,High Activity,Medium CLV,Medium Value Power User
430569,67,98124,98124,1759,24,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,87462,Married,Star,4277.56,0,0,Medium,Medium CLV,2016-10-01,,96365,1.7926297338062e-02,High Activity,Low CLV,Low Value Active
873458,38,63077,63077,1994,24,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,84117,Divorced,Aurora,5130.82,0,0,Medium,Medium CLV,2015-12-01,,61083,3.16121565705408e-02,Medium Activity,High CLV,High Value Active
472726,0,0,0,0,24,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,85866,Divorced,Aurora,5124.22,0,0,Medium,Medium CLV,2012-05-01,,0,0,No Activity,High CLV,High Value At Risk
119837,37,60609,60609,1813,24,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,4774.75,1,0,Unknown,Medium CLV,2014-12-01,,58796,2.9913049217113e-02,Medium Activity,Medium CLV,Medium Value Regular
745336,0,0,0,0,24,Canada,Quebec,Montreal,H3T 8L4,Female,Doctor,288934,Married,Star,4791.08,0,1,High,Medium CLV,2015-04-01,2015-12-01,0,0,No Activity,Medium CLV,Medium Value Inactive
382197,13,23750,23750,461,24,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367,Married,Star,4100.47,0,1,Medium,Medium CLV,2017-10-01,2018-06-01,23289,1.94105263157895e-02,Low Activity,Low CLV,Low Value Low Activity
205465,13,17841,17841,1093,24,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,61070,Divorced,Aurora,5217.51,0,0,Medium,Medium CLV,2018-05-01,,16748,6.12633820974161e-02,Low Activity,High CLV,High Value Low Activity
412902,50,80061,80061,1330,24,Canada,Quebec,Tremblant,H5Y 2S9,Male,Master,79329,Divorced,Star,4904.89,0,0,Medium,Medium CLV,2016-05-01,,78731,1.66123330960143e-02,High Activity,Medium CLV,Medium Value Power User
984636,35,63078,63078,742,24,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,59023,Married,Star,4719.76,0,0,Medium,Medium CLV,2014-03-01,,62336,1.17632137987888e-02,Medium Activity,Medium CLV,Medium Value Regular
285738,14,23694,23694,0,24,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,58563,Divorced,Star,4896.56,0,1,Medium,Medium CLV,2016-09-01,2017-05-01,23694,0,Low Activity,Medium CLV,Medium Value Casual
927943,40,61007,61007,1583,24,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,3857.95,1,0,Unknown,Medium CLV,2014-06-01,,59424,2.59478420509122e-02,Medium Activity,Low CLV,Low Value Regular
523394,47,66258,66258,721,24,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,95947,Married,Star,4515.18,0,0,Medium,Medium CLV,2014-11-01,,65537,1.0881704850735e-02,High Activity,Medium CLV,Medium Value Power User
